iter	RMSE
279	0.1600435436
280	0.15937769
281	0.1591594687
282	0.1582158536
283	0.158016302
284	0.1573480249
285	0.1570125303
286	0.1566199407
287	0.1563100102
288	0.1557709086
289	0.1553432538
290	0.1548855296
291	0.1546538514
292	0.1544090789
293	0.1540817152
294	0.1536678003
295	0.1528377418
296	0.1521588329
297	0.1519638538
298	0.1514831679
299	0.1513580004
300	0.151046232
301	0.1504558468
302	0.1503173955
303	0.1502475057
304	0.1499552005
305	0.1490927879
306	0.14885043
307	0.1484730817
308	0.1480798976
309	0.1476754624
310	0.1475137437
311	0.1470544733
312	0.1467231112
313	0.1463631333
314	0.1460076705
315	0.1456904189
316	0.1454403734
317	0.1451321031
318	0.1447130049
319	0.1445476211
320	0.1444879669
321	0.1440362764
322	0.1433152674
323	0.1429815671
324	0.1425383161
325	0.1421022204
326	0.1416554009
327	0.1415025888
328	0.1411616357
329	0.1409507979
330	0.1405832763
331	0.1401927377
332	0.1400271962
333	0.1392363548
334	0.138475992
335	0.1382337491
336	0.1378860595
337	0.1377052633
338	0.137380773
339	0.1368943739
340	0.1363438696
341	0.1361226432
342	0.1359288882
343	0.1354983871
344	0.1353091827
345	0.1349320988
