iter	RMSE
0	1.053916415
1	0.9649092232
2	0.8932638272
3	0.8358416965
4	0.7884764909
5	0.7499393398
6	0.7169916687
7	0.689255726
8	0.668583694
9	0.6516144546
10	0.639441059
11	0.6197170169
12	0.6100563132
13	0.5997280584
14	0.5894888131
15	0.5826472693
16	0.5771166823
17	0.5702605672
18	0.5631196265
19	0.5571885594
20	0.5522330662
21	0.5449755758
22	0.5389487853
23	0.5336467057
24	0.5290609927
25	0.5252100042
26	0.5198669492
27	0.515878129
28	0.510391077
29	0.5034432368
30	0.4995589425
31	0.4962970656
32	0.4937397314
33	0.4905910442
34	0.4850258768
35	0.4838902293
36	0.478063602
37	0.4757865488
38	0.4722243773
39	0.4694299297
40	0.4672601896
41	0.4641343275
42	0.4593206628
43	0.4564463649
44	0.4555154555
45	0.4548718225
46	0.4498559575
47	0.4455352706
48	0.4441290865
49	0.4422421451
50	0.440213908
51	0.4389624865
52	0.436814591
53	0.4273663772
54	0.4235407179
55	0.4222245038
56	0.4203571644
57	0.4147069594
58	0.4126753678
59	0.4101503433
60	0.4087246631
61	0.4059059898
62	0.4004466192
63	0.3958634102
64	0.3942310323
65	0.3920992046
66	0.3886171646
67	0.3857062288
68	0.3825080073
69	0.3805672751
70	0.3794339336
71	0.3784341268
72	0.3775639961
73	0.3763419447
74	0.3752841672
75	0.3724973181
76	0.369814151
77	0.3667333466
78	0.3637316641
79	0.3619030365
80	0.3586159647
81	0.3569709549
82	0.3558428803
83	0.3542381381
84	0.3526740069
85	0.351337348
86	0.3489984297
87	0.3469215296
88	0.3464313632
89	0.3437275544
90	0.3431934744
91	0.3398293583
92	0.3392584615
93	0.3368962565
94	0.3355873971
95	0.3341391507
96	0.3292153603
97	0.3280835282
98	0.3278089372
99	0.3271813272
100	0.3259437579
101	0.3235488509
102	0.3206655332
103	0.3187379672
104	0.3162995861
105	0.3157305156
106	0.3142251108
107	0.3125748085
108	0.3116115088
109	0.3097616752
110	0.3081650207
111	0.3058723142
112	0.3042951625
113	0.3026355258
114	0.3015680562
115	0.3003143667
116	0.2974753468
117	0.2945484007
118	0.2934497714
119	0.2928821578
120	0.2918399333
121	0.2896269857
122	0.2874758161
123	0.2866749472
124	0.2864083407
125	0.285248489
126	0.2838506864
127	0.2829524435
128	0.2811753763
129	0.2802725158
130	0.2799115781
131	0.2786847853
132	0.2785418908
133	0.2761601264
134	0.275786438
135	0.2750724961
136	0.2743453133
137	0.2731126748
138	0.270900019
139	0.2696608405
140	0.2686120676
141	0.2665627595
142	0.2649711056
143	0.2639488422
144	0.2633625579
145	0.2615814155
146	0.2604433991
147	0.2585646883
148	0.2582636508
149	0.257638946
150	0.2561654832
151	0.2539462643
152	0.2526956447
153	0.252040798
154	0.2489777093
155	0.2477001507
156	0.2463632841
157	0.2447074827
158	0.242798902
159	0.2421046261
160	0.2409450016
161	0.2394494309
162	0.2388388281
163	0.238747259
164	0.2378229409
165	0.2368828625
166	0.2362650909
167	0.2352623131
168	0.2342139881
169	0.2335995562
170	0.2327541785
171	0.2312319078
172	0.2305406255
173	0.2293457188
174	0.2271037971
175	0.2266776209
176	0.225032179
177	0.2236359255
178	0.2223219264
179	0.2215863327
180	0.2209277246
181	0.2206903705
182	0.2195959032
183	0.2180031344
184	0.2179599386
185	0.2176030287
186	0.2172459597
187	0.2167706321
188	0.2148546485
189	0.2147326349
190	0.2139373225
191	0.2132862589
192	0.212377466
193	0.2114544243
194	0.2111309514
195	0.2107729944
196	0.209710637
197	0.2087026129
198	0.2080829816
199	0.2074903571
200	0.2073279755
201	0.2065907284
202	0.2060065605
203	0.2046176293
204	0.2033313464
205	0.2027371851
206	0.202518366
207	0.2021366396
208	0.2010896303
209	0.2010456733
210	0.2005021496
211	0.200217618
212	0.1996092309
213	0.1983007031
214	0.1978044865
215	0.1970184518
216	0.1964204377
217	0.1961526306
218	0.1951781806
219	0.1945586179
220	0.1940959773
221	0.1933581041
222	0.1926622316
223	0.1916322122
224	0.1911150945
225	0.1907467845
226	0.1903846939
227	0.1895035293
228	0.1886412085
229	0.188309835
230	0.1877407788
231	0.1870059609
232	0.1859535206
233	0.1850188184
234	0.1841120965
235	0.1836585707
236	0.1829162991
237	0.1826409906
238	0.1821207641
239	0.1817276574
240	0.1809999016
241	0.1800864829
242	0.1797753622
243	0.1787711973
244	0.1783388888
245	0.178111562
246	0.1774378473
247	0.1767268063
248	0.17611149
249	0.1756328883
250	0.1751805093
251	0.1740668962
252	0.1731908594
253	0.1728906089
254	0.1723914145
255	0.1720927925
256	0.1718624667
257	0.1714035643
258	0.1706435106
259	0.1702228962
260	0.1698668943
261	0.169713637
262	0.1689728197
263	0.1683943525
264	0.1677205208
265	0.1671071544
266	0.1666685749
267	0.1658187178
268	0.1654145717
269	0.1652758724
270	0.1647563513
271	0.1642196415
272	0.1634681825
273	0.16310676
274	0.1621314957
275	0.1614570171
276	0.160904074
277	0.160672847
278	0.1603600698
